codigo,nombre,activo
1,"CONCEJO MUNICIPAL",true
2,"ALCALDIA MUNICIPAL",true
3,"SECRETARIA MUNICIPAL",true
4,"DIRECCION DE ADMINISTRACIÓN FINANCIERA MUNICIPAL (DAFIM)",true
5,"DIRECCION MUNICIPAL DE PLANIFICACIÓN (DMP)",true
6,"RECURSOS HUMANOS",true
7,"UNIDAD DE ACCESO A LA INFORMACION PUBLICA",true
8,"JUZGADO DE ASUNTOS MUNICIPALES",true
9,"OFICINA MUNICIPAL DE GESTION AMBIENTAL",true
10,"OFICINA DE CATASTRO MUNICIPAL",true
11,"CONSERVACION SISTEMA DE AGUA POTABLE A TRAVES DE LA OMAS",true
12,"CONSERVACION SERVICIOS TREN DE ASEO MUNICIPAL",true
13,"CONSERVACION MERCADO MUNICIPAL",true
14,"APOYO A LA EDUCACION",true
15,"APOYO INSTITUCIONAL DE LA POLICIA MUNICIPAL",true
16,"CONSERVACION RED DE ALUMBRADO PUBLICO",true
17,"CONSERVACION EDIFICIO MUNICIPALES",true
18,"CONSERVACION INSTITUCIONAL DIRECCION MUNICIPAL DE LA MUJER",true
19,"APOYO A LA SALUD PREVENTIVA Y ASISTENCIA SOCIAL",true
20,"APOYO A LA CULTURA Y DEPORTE Y LA RECREACION",true
21,"CONSERVACION CALLE(S) URBANAS Y CAMINOS RURALES",true
